DWH_SK,DWH_DELTA_DATE,DWH_BATCH_DATETIME,DWH_BATCH_DATE,ID,PRODUCT_NAME,PRODUCT_ID,PRICE_AT_PURCHASE,QUANTITY,CREATED_DATE,UPDATED_DATE,GENERATED_DATETIME,GENERATED_DATE,PURCHASE_ID,DWH_IS_LATEST
14698629724752634710,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,126,Persevering optimizing capability,131,2841.000,1,2025-10-02 13:17:29.170988,2025-10-02 13:17:29.170988,2023-05-19 06:34:56,2023-05-19,112,1
3261984405379782023,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,145,Implemented motivating array,129,7536.000,4,2025-10-02 13:17:29.332576,2025-10-02 13:17:29.332576,2023-09-15 22:15:59,2023-09-15,131,1
4283375741803666379,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,153,Ergonomic disintermediate matrices,116,5055.000,5,2025-10-02 13:17:29.400357,2025-10-02 13:17:29.400357,2024-04-23 14:41:22,2024-04-23,139,1
16196101692922734947,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,154,Polarized high-level firmware,117,10560.000,3,2025-10-02 13:17:29.4084,2025-10-02 13:17:29.4084,2023-01-15 03:01:56,2023-01-15,140,1
10753207154510362622,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,163,Devolved next generation database,126,12288.000,3,2025-10-02 13:17:29.598621,2025-10-02 13:17:29.598621,2025-04-17 15:31:36,2025-04-17,149,1
14881873424271094171,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,166,Implemented motivating array,129,1884.000,1,2025-10-02 13:17:29.62497,2025-10-02 13:17:29.62497,2023-06-30 15:18:54,2023-06-30,152,1
18012415969724496121,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,168,Persevering optimizing capability,131,14205.000,5,2025-10-02 13:17:29.640115,2025-10-02 13:17:29.640115,2023-09-14 06:59:21,2023-09-14,154,1
126923956724454609,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,172,Laptop ultra 2000,1,1400.000,1,2025-10-02 13:17:29.67217,2025-10-02 13:17:29.67217,2024-07-04 05:38:07,2024-07-04,158,1
3621391441494478407,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,181,Exclusive zero administration structure,123,5820.000,5,2025-10-02 13:17:29.746946,2025-10-02 13:17:29.746946,2024-04-18 13:40:35,2024-04-18,167,1
14235276909802223850,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,201,Self-enabling object-oriented productivity,122,11307.000,3,2025-10-02 13:17:29.90492,2025-10-02 13:17:29.90492,2024-08-11 11:06:20,2024-08-11,187,1
7405997467509127149,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,231,Persistent empowering knowledge user,120,12999.000,3,2025-10-02 13:18:16.946277,2025-10-02 13:18:16.946277,2024-09-20 07:02:22,2024-09-20,17,1
5468758100721016218,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,241,Advanced national superstructure,130,4648.000,2,2025-10-02 13:18:17.118541,2025-10-02 13:18:17.118541,2025-08-24 00:53:57,2025-08-24,27,1
14655267389314522732,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,255,Extended scalable moderator,124,13152.000,4,2025-10-02 13:18:19.639832,2025-10-02 13:18:19.639832,2025-04-23 18:12:29,2025-04-23,21,1
1021207927921877146,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,84,Persevering optimizing capability,131,2841.000,1,2025-10-02 13:17:28.833122,2025-10-02 13:17:28.833122,2025-05-23 20:53:29,2025-05-23,70,1
7752235375007774949,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,113,Persistent mobile moderator,118,1924.000,4,2025-10-02 13:17:29.075995,2025-10-02 13:17:29.075995,2024-03-02 04:40:02,2024-03-02,99,1
1275595959701120266,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,123,User-friendly transitional complexity,128,3284.000,2,2025-10-02 13:17:29.155191,2025-10-02 13:17:29.155191,2025-10-01 04:32:48,2025-10-01,109,1
11053559776888487623,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,138,Self-enabling object-oriented productivity,122,3769.000,1,2025-10-02 13:17:29.269755,2025-10-02 13:17:29.269755,2025-12-11 19:25:44,2025-12-11,124,1
11402142779280872093,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,142,Devolved next generation database,126,12288.000,3,2025-10-02 13:17:29.297502,2025-10-02 13:17:29.297502,2023-07-13 04:13:03,2023-07-13,128,1
2032072145959993693,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,149,Business-focused explicit focus group,133,11712.000,4,2025-10-02 13:17:29.365725,2025-10-02 13:17:29.365725,2025-11-26 09:58:37,2025-11-26,135,1
3008350807948834219,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,198,Total needs-based structure,119,3414.000,1,2025-10-02 13:17:29.877905,2025-10-02 13:17:29.877905,2025-04-15 18:29:04,2025-04-15,184,1
13284912553709437526,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,202,Exclusive zero administration structure,123,3492.000,3,2025-10-02 13:17:29.909322,2025-10-02 13:17:29.909322,2024-08-08 09:01:16,2024-08-08,188,1
2987781332221440587,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,207,User-friendly transitional complexity,128,6568.000,4,2025-10-02 13:17:29.954815,2025-10-02 13:17:29.954815,2024-11-13 13:42:46,2024-11-13,193,1
5444567502298441975,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,219,Total needs-based structure,119,6828.000,2,2025-10-02 13:17:30.043175,2025-10-02 13:17:30.043175,2024-04-07 23:50:36,2024-04-07,205,1
4281249690682689950,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,220,Persistent empowering knowledge user,120,12999.000,3,2025-10-02 13:17:30.058973,2025-10-02 13:17:30.058973,2023-11-04 16:45:13,2023-11-04,206,1
1605950009768318896,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,236,Managed 5thgeneration workforce,125,1720.000,4,2025-10-02 13:18:17.039558,2025-10-02 13:18:17.039558,2025-12-29 20:14:16,2025-12-29,22,1
14627966339724672299,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,243,Inverse regional installation,132,750.000,2,2025-10-02 13:18:17.150047,2025-10-02 13:18:17.150047,2023-04-11 18:26:31,2023-04-11,29,1
3984995002158167410,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,244,Business-focused explicit focus group,133,11712.000,4,2025-10-02 13:18:17.174315,2025-10-02 13:18:17.174315,2025-04-23 12:34:16,2025-04-23,30,1
6144408819034585980,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,52,Persistent empowering knowledge user,120,21665.000,5,2025-10-02 13:17:28.561129,2025-10-02 13:17:28.561129,2023-07-25 14:00:03,2023-07-25,38,1
15685967336879628546,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,53,Customizable motivating intranet,121,4743.000,3,2025-10-02 13:17:28.570923,2025-10-02 13:17:28.570923,2023-10-11 06:21:27,2023-10-11,39,1
3657525975776417666,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,58,Devolved next generation database,126,4096.000,1,2025-10-02 13:17:28.616353,2025-10-02 13:17:28.616353,2024-06-06 22:31:36,2024-06-06,44,1
8501891609565316532,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,63,Persevering optimizing capability,131,5682.000,2,2025-10-02 13:17:28.658721,2025-10-02 13:17:28.658721,2023-06-09 08:08:04,2023-06-09,49,1
8047549083997177433,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,75,Self-enabling object-oriented productivity,122,3769.000,1,2025-10-02 13:17:28.761238,2025-10-02 13:17:28.761238,2025-12-28 09:05:44,2025-12-28,61,1
4647516458880688421,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,80,Mandatory full-range data-warehouse,127,7780.000,4,2025-10-02 13:17:28.794879,2025-10-02 13:17:28.794879,2024-09-09 04:06:57,2024-09-09,66,1
1975659516538630159,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,103,Implemented motivating array,129,3768.000,2,2025-10-02 13:17:28.988924,2025-10-02 13:17:28.988924,2025-08-27 13:50:12,2025-08-27,89,1
15727881005342083870,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,115,Persistent empowering knowledge user,120,8666.000,2,2025-10-02 13:17:29.091689,2025-10-02 13:17:29.091689,2024-12-07 00:21:23,2024-12-07,101,1
7028217613449089787,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,139,Exclusive zero administration structure,123,2328.000,2,2025-10-02 13:17:29.281674,2025-10-02 13:17:29.281674,2024-09-17 18:55:29,2024-09-17,125,1
4152527167058537348,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,140,Extended scalable moderator,124,16440.000,5,2025-10-02 13:17:29.281674,2025-10-02 13:17:29.281674,2025-02-26 01:44:49,2025-02-26,126,1
12279856708719681362,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,215,Reduced well-modulated neural-net,115,11700.000,4,2025-10-02 13:17:30.020987,2025-10-02 13:17:30.020987,2025-08-08 10:40:06,2025-08-08,201,1
11470761764833644403,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,25,Laptop ultra 2000,1,2800.000,2,2025-10-02 13:17:28.332609,2025-10-02 13:17:28.332609,2023-02-18 07:44:11,2023-02-18,1,1
7885865777432157422,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,252,Customizable motivating intranet,121,3162.000,2,2025-10-02 13:18:19.578665,2025-10-02 13:18:19.578665,2023-06-22 14:16:36,2023-06-22,18,1
14883356039612413842,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,260,Implemented motivating array,129,3768.000,2,2025-10-02 13:18:19.722877,2025-10-02 13:18:19.722877,2024-01-20 15:17:34,2024-01-20,26,1
1952044587013892206,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,33,Self-enabling object-oriented productivity,122,3769.000,1,2025-10-02 13:17:28.406244,2025-10-02 13:17:28.406244,2023-04-19 01:02:45,2023-04-19,19,1
6497613824414714646,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,73,Persistent empowering knowledge user,120,8666.000,2,2025-10-02 13:17:28.73642,2025-10-02 13:17:28.73642,2025-01-31 11:07:53,2025-01-31,59,1
14800999696500817915,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,83,Advanced national superstructure,130,6972.000,3,2025-10-02 13:17:28.825076,2025-10-02 13:17:28.825076,2023-10-12 19:30:50,2023-10-12,69,1
4235677256140469941,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,112,Polarized high-level firmware,117,7040.000,2,2025-10-02 13:17:29.068729,2025-10-02 13:17:29.068729,2025-04-11 00:30:31,2025-04-11,98,1
12531822854440964725,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,122,Mandatory full-range data-warehouse,127,5835.000,3,2025-10-02 13:17:29.139146,2025-10-02 13:17:29.139146,2025-06-01 10:23:13,2025-06-01,108,1
17332662295140417923,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,133,Polarized high-level firmware,117,3520.000,1,2025-10-02 13:17:29.2341,2025-10-02 13:17:29.2341,2025-06-27 02:37:29,2025-06-27,119,1
15916629216760628080,2025-10-06 09:00:02,2025-10-06 09:00:02,2025-10-06,147,Persevering optimizing capability,131,2841.000,1,2025-10-02 13:17:29.348894,2025-10-02 13:17:29.348894,2025-10-15 18:50:33,2025-10-15,133,1
