DWH_SK,DWH_BATCH_DATETIME,DWH_BATCH_DATE,ID,TITLE,DESCRIPTION,IS_MAIN_CATEGORY,IS_ACTIVE,PARENT_CATEGORY,CREATED_DATE,UPDATED_DATE,GENERATED_DATETIME,GENERATED_DATE,DWH_IS_LATEST,DWH_EFFECTIVE_FROM,DWH_EFFECTIVE_TO
1245290357617876238,2025-10-02 17:03:01,2025-10-02,1,Laptops,Laptops,true,true,,2025-09-09 14:07:51.741672,2025-09-09 14:07:51.741693,2025-01-01 10:10:10,2025-01-01,1,0001-01-01 00:00:00,3000-01-01 00:00:00
1551657590721393782,2025-10-02 17:03:01,2025-10-02,18,Profit-focused empowering artificial intelligence,significant,true,true,,2025-10-02 13:16:27.861309,2025-10-02 13:16:27.861309,2025-01-23 16:09:37,2025-01-23,1,0001-01-01 00:00:00,3000-01-01 00:00:00
4146826488641526057,2025-10-02 17:03:01,2025-10-02,14,Proactive interactive structure,law,true,true,,2025-10-02 13:16:27.828119,2025-10-02 13:16:27.828119,2024-07-23 15:05:45,2024-07-23,1,0001-01-01 00:00:00,3000-01-01 00:00:00
5482245741110722112,2025-10-02 17:03:01,2025-10-02,15,Synergistic multi-tasking migration,wish,true,true,,2025-10-02 13:16:27.828119,2025-10-02 13:16:27.828119,2024-05-20 03:55:19,2024-05-20,1,0001-01-01 00:00:00,3000-01-01 00:00:00
17273502101694945978,2025-10-02 17:03:01,2025-10-02,20,Focused directional matrix,economy,true,true,,2025-10-02 13:16:27.875892,2025-10-02 13:16:27.875892,2023-06-08 21:35:06,2023-06-08,1,0001-01-01 00:00:00,3000-01-01 00:00:00
5437600957514297404,2025-10-02 17:03:01,2025-10-02,12,Automated encompassing strategy,same,true,true,,2025-10-02 13:16:27.814228,2025-10-02 13:16:27.814228,2023-07-19 07:16:16,2023-07-19,1,0001-01-01 00:00:00,3000-01-01 00:00:00
7427853086417928871,2025-10-02 17:03:01,2025-10-02,16,Reverse-engineered secondary portal,project,true,true,,2025-10-02 13:16:27.846258,2025-10-02 13:16:27.846258,2023-12-28 06:32:55,2023-12-28,1,0001-01-01 00:00:00,3000-01-01 00:00:00
16216930879157056758,2025-10-02 17:03:01,2025-10-02,17,Reactive client-server paradigm,expect,true,true,,2025-10-02 13:16:27.846258,2025-10-02 13:16:27.846258,2025-09-18 21:40:51,2025-09-18,1,0001-01-01 00:00:00,3000-01-01 00:00:00
7355350364369502578,2025-10-02 17:03:01,2025-10-02,21,Customer-focused homogeneous infrastructure,public,true,true,,2025-10-02 13:16:27.891346,2025-10-02 13:16:27.891346,2024-03-02 11:54:48,2024-03-02,1,0001-01-01 00:00:00,3000-01-01 00:00:00
705090106747680118,2025-10-02 17:03:01,2025-10-02,13,Re-engineered foreground capacity,between,true,true,,2025-10-02 13:16:27.822327,2025-10-02 13:16:27.822327,2023-07-05 16:11:03,2023-07-05,1,0001-01-01 00:00:00,3000-01-01 00:00:00
5875647965663506788,2025-10-02 17:03:01,2025-10-02,19,Profit-focused zero-defect budgetary management,result,true,true,,2025-10-02 13:16:27.861309,2025-10-02 13:16:27.861309,2025-09-09 12:44:21,2025-09-09,1,0001-01-01 00:00:00,3000-01-01 00:00:00
